question_id,category,question_summary,repository_verifiable,status,confidence,primary_finding,decision_impact,recommended_decision,evidence_files,remaining_input
Q11,C-Tenancy,DB-per-tenant vs shared-DB,TRUE,answered,CONFIRMED,"The true shared-DB refactor surface is 6,785 data-access call sites, not the 1,875 previously estimated: sqlStatement( 2,025 + QueryUtils:: 1,653 + sqlQuery( 1,454 + sqlFetchArray( 1,354 + sqlInsert( 251 + Doctrine DBAL 48, plus 202 OE_SITE_DIR file-path sites. No core table has a tenant_id/site_id column. Tenancy is enforced by which sqlconf.php is loaded - the connection IS the boundary.",Model B is ~3.6x more expensive than the estimate the decision was based on. Model A is what the runtime already implements. This is the single strongest quantitative argument in the audit.,"LOCK Model A (DB-per-tenant). Model B is not economically viable at 6,785 call sites.",evidence/raw/remaining-counts.tsv; interface/globals.php; sql/database.sql; 10-database-and-tenancy-evidence.md; 16-control-plane-constraints.md,
Q12,C-Tenancy,Tenant routing scheme,TRUE,answered,CONFIRMED,Hostname->site routing EXISTS but only for unauthenticated requests: interface/globals.php:295-297 and index.php:14 consult HTTP_HOST only when $ignoreAuth is set. Authenticated traffic resolves site from $_GET['site'] (wins) or session site_id. A regex allowlist at globals.php:304 is the sole guard.,"Subdomain routing for authenticated traffic needs a small, well-bounded globals.php patch (lift the HTTP_HOST branch out of the $ignoreAuth guard) PLUS per-subdomain cookie scoping (Q17). It is not free but it is small.","Subdomain-per-tenant, implemented as a minimal globals.php patch plus cookie scoping. Never expose ?site= publicly - it remains accepted and takes precedence.",interface/globals.php; 16-control-plane-constraints.md,
Q13,C-Tenancy,Tenant-count ceiling,TRUE,partially_answered,MEDIUM,"Repository establishes the binding constraints, not the number. Connection pooling is per-{Apache worker x DSN} (DatabaseConnectionFactory.php:113,137-151), so DB-per-tenant yields up to N_tenants x M_workers persistent handles. Cross-site iteration is an opendir(sites/) walk (admin.php:75-115). Background jobs run once per site per cron via bin/console --site=<name>.","The ceiling is set by connection-handle math and per-site cron fan-out, both of which are measurable before committing. 500 tenants implies a jobs consolidator and pooling discipline.","Provisional: design for 500, revisit at 200. Disable connection pooling or cap workers; build a jobs consolidator before tenant 100.",admin.php; src/BC/DatabaseConnectionFactory.php; 16-control-plane-constraints.md,Product: 24-month tenant forecast.
Q14,C-Tenancy,Per-tenant Apache/TLS/observability config location,TRUE,partially_answered,HIGH,"No per-tenant vhost/TLS/log-shipping config exists in the repo. The only per-site executable seam is sites/<site>/config.php, require_once'd at interface/globals.php:649.","Nothing in-repo to migrate; the decision is purely organisational. Note that sites/<site>/config.php is an arbitrary-PHP execution point per tenant and must be operator-controlled, never tenant-writable.",Provisional: separate infra repo (matches Q41). Treat sites/<site>/config.php as operator-only.,interface/globals.php; 16-control-plane-constraints.md; 14-frontend-ui-evidence.md,Ops: repo topology and release-coupling preference.
Q15,C-Tenancy,Cross-tenant analytics: Day-1 or Day-N?,TRUE,partially_answered,HIGH,"Under the locked Model A there is no cross-tenant query path: each site is a physically separate database with no shared identifiers, and site-local ids collide by design (two sites both have documents.id = 1). Cross-tenant analytics therefore requires an ETL into a warehouse keyed on (site_name, entity_id) or UUIDs.","If analytics is Day-1, ETL scaffolding must be in the MVP and the id-namespacing rule must be enforced from the first custom table. Retrofitting is expensive.","Day-N for dashboards, but enforce the (site_name, entity_id) / UUID rule from day one so the ETL stays possible.",sql/database.sql; src/Services/InsuranceCompanyService.php; 10-database-and-tenancy-evidence.md; 16-control-plane-constraints.md,Product: whether HQ dashboards are an MVP commitment.
Q16,C-Tenancy,Central identity across tenants at Day-1?,TRUE,answered,CONFIRMED,The session cookie name is a global constant - CORE_SESSION_ID = 'OpenEMR' at src/Common/Session/SessionUtil.php:81 - so one browser holds one tenant login at a time. Additionally every human needs a LOCAL users row plus gacl_aro records per tenant DB; no code path consults an external authorization service.,Cross-tenant SSO requires BOTH a cookie-naming patch (Q17) AND a central identity-to-local-user mapping. Authentication can federate; authorization cannot leave the tenant DB.,No cross-tenant SSO Day-1. Federate authentication via Keycloak per tenant; keep authorization tenant-local.,interface/login/login.php; src/Common/Session/SessionUtil.php; 11-authentication-authorization-evidence.md; 16-control-plane-constraints.md,
Q17,C-Tenancy,Per-tenant cookie names?,TRUE,answered,CONFIRMED,"CORE_SESSION_ID is a hardcoded constant 'OpenEMR' (SessionUtil.php:81). Namespacing it per site is a small, well-localised class-c patch, but it is a permanent carry across every rebase.",Directly gates Q16 and interacts with Q12: subdomain routing without cookie scoping lets one tenant's cookie be presented to another tenant's host.,"Accept the one-tenant-per-browser constraint Day-1, BUT set cookie Domain/Path per subdomain at the proxy so Q12 is safe. Patch SessionUtil only if Q16 flips.",src/Common/Session/SessionUtil.php; 16-control-plane-constraints.md,
Q18,D-Saudi,Arabic UI baseline: extend existing or greenfield?,TRUE,answered,CONFIRMED,"Arabic coverage measured at 47.53%: 6,290 Arabic rows out of 13,234 unique lang_constants in contrib/util/language_translations/currentLanguage_utf8.sql. The default installer ships EN-only (sql/database.sql:3569) so Arabic requires a post-install import. The frontend i18next layer reads the SAME lang_* tables (interface/main/tabs/main.php:335-349) - there is no separate JSON catalogue to maintain.","Because the frontend already piggybacks on the backend catalogue, extending the SQL catalogue fixes both legacy and modern screens at once. Greenfield JSON would fork the catalogue in two.","Extend the existing SQL catalogue; do not start a parallel JSON catalogue. Budget translation of the missing 6,944 constants plus MSA terminology review.",contrib/util/language_translations/currentLanguage_utf8.sql; interface/main/tabs/main.php; sql/database.sql; 13-localization-arabic-evidence.md,
Q19,D-Saudi,Hijri calendar policy,TRUE,answered,CONFIRMED,"Zero Hijri support exists: no matches for 'hijri', 'IntlCalendar', or 'moment-hijri' anywhere in tracked files. library/date_functions.php:43-54 is hard-Gregorian.","Entirely greenfield: a HijriDate value type, PHP IntlCalendar wrappers, moment-hijri (~10 kB), dual-calendar pickers, and formatters for DOB/appointment/lab/PDF paths. Cost is driven by how many surfaces must show it.","Provisional: dual-display on appointment/billing screens, Gregorian-only on clinical timestamps. Scope by surface count, not by 'add Hijri support'.",library/date_functions.php; 13-localization-arabic-evidence.md,Product/clinical: which fields must show Hijri.
Q20,D-Saudi,Currency policy,TRUE,answered,CONFIRMED,No multi-currency schema exists: no currency column on billing (sql/database.sql:245-278) or any financial table. Display symbol is a single global gbl_currency_symbol defaulting to '$' (library/globals.inc.php:820).,"SAR-only is nearly free (set one global, patch the FHIR hardcode per Q26). Multi-currency requires schema changes, an FX table, and currency-awareness in every report - a disproportionate cost for single-country KSA.","SAR only. Set gbl_currency_symbol, fix Q26. Defer multi-currency until a second country is actually sold.",library/globals.inc.php; sql/database.sql; 13-localization-arabic-evidence.md,
Q21,D-Saudi,ZATCA e-invoicing scope,TRUE,partially_answered,CONFIRMED,"Zero ZATCA support: no matches for zatca, fatoora, invoice_hash, qr_code_invoice, or e-invoice. Tax infrastructure is a rates registry only (list_options list_id='taxrate' at sql/database.sql:4354; codes.taxrates colon-list at :1135). There is NO tax-amount column on billing.","Even ZATCA Phase 1 needs a new tax-amount persistence layer, not just a QR encoder - the schema cannot record the tax actually charged. Phase 2 adds XML signing, device onboarding and Fatoora API integration.","Provisional Phase 2, but sequence it: (1) add tax-amount persistence, (2) Phase 1 QR, (3) Phase 2 clearance. Step 1 is a prerequisite for both.",sql/database.sql; 13-localization-arabic-evidence.md,Legal/Finance: ZATCA wave assignment and deadline.
Q22,D-Saudi,MSA vs Saudi-dialect terminology,FALSE,external_decision_required,LOW,The bundled catalogue is MSA of unmeasured fidelity (47.53% coverage per Q18). The repository cannot adjudicate dialect preference.,"Affects translation cost and glossary maintenance, not architecture. Mixing the two is the worst outcome.",Provisional: MSA everywhere; revisit patient-portal wording only after user testing.,contrib/util/language_translations/currentLanguage_utf8.sql; 13-localization-arabic-evidence.md,Product + Saudi clinical reviewer: dialect policy.
Q23,D-Saudi,Per-user timezone/language preference,TRUE,answered,CONFIRMED,"Timezone is site-wide: gbl_time_zone (library/globals.inc.php:777) applied at interface/globals.php:520, with a UTC default at bootstrap.php:30. Language is already per-session via language_choice, and a per-user override mechanism exists generically through user_settings (proven for css_header at globals.php:437-450).","Saudi is a single timezone, so site-wide is sufficient there. Per-user language needs no new mechanism - user_settings already supports per-user global overrides.",Site-wide timezone (Asia/Riyadh). Per-user language toggle via the existing user_settings overlay - no new schema required.,interface/globals.php; library/globals.inc.php; 13-localization-arabic-evidence.md,
Q24,D-Saudi,bootstrap-rtl sustainability,TRUE,answered,CONFIRMED,bootstrap-rtl is fetched by napa as a pinned single-commit GitHub archive of an unmaintained third-party fork (package.json:113). If that URL disappears the build breaks with no local copy.,"This is a live build-availability risk, not a styling preference. Vendoring is a same-day mitigation independent of any Bootstrap 5 decision.",Vendor the current zip into the repo IMMEDIATELY (removes the availability risk today). Plan the Bootstrap 5 native-RTL migration as a separate Phase-2 item.,package.json; 13-localization-arabic-evidence.md,
Q25,D-Saudi,PDF Arabic fonts,TRUE,answered,CONFIRMED,"No Arabic-capable font is tracked: git ls-files finds no amiri*, noto*naskh*, noto*sans*arabic*, or dejavu* font files. After composer install, mPDF's transitive DejaVuSans is the only fallback - a fallback, not a professional Arabic typeface. interface/themes/rtl_style_pdf.css does ship.","Every Arabic PDF (invoices, prescriptions, future ZATCA output) renders with inadequate typography until a proper face is bundled. One-time ~5-10 MB cost, no downside.",Bundle Amiri and Noto Naskh Arabic; wire into the mPDF font map. Do this before any Arabic PDF is shown to a customer.,interface/themes/rtl_style_pdf.css; 13-localization-arabic-evidence.md,
Q26,D-Saudi,Hardcoded USD in FHIR Coverage,TRUE,answered,CONFIRMED,"src/Services/FHIR/FhirCoverageService.php:294 hard-codes 'USD', alongside 5 other USD hardcodes identified in the prior localization audit.","Small, isolated patch. Because the fork carries zero patches today (Q1), an upstream PR keeps that record clean; a local wrapper starts the class-c patch ledger.",Upstream PR the fix (benefits every fork and preserves the zero-patch record). Carry a local wrapper only if the PR stalls past the NPHIES milestone.,src/Services/FHIR/FhirCoverageService.php; 13-localization-arabic-evidence.md; 12-fhir-nphies-billing-evidence.md,
Q27,E-NPHIES,FHIR Claim submission architecture,TRUE,answered,CONFIRMED,Option A is blocked today: Coverage is read-only and Claim/ClaimResponse have NO HTTP surface. Option B is blocked by missing billing events (Q30) - src/Billing/ contains zero event dispatches. Option C (polling) works with zero core changes and is exactly what the shipped claimrev-connect module does.,Only Option C is executable today without core patches. The evidence directly supports the phased plan rather than an architectural argument.,"Option C (background polling) for MVP, mirroring claimrev-connect. Migrate to Option A after the Q30 events and the Q28 write surface land.",evidence/raw/count-rest_controllers.txt; src/Billing/BillingProcessor/BillingProcessor.php; src/Services/FHIR/FhirCoverageService.php; 12-fhir-nphies-billing-evidence.md,
Q28,E-NPHIES,Ownership of FHIR write-surface build,TRUE,partially_answered,HIGH,"The type surface is partially free but the HTTP surface is absent. 103 FHIR service files and 90 REST controllers exist, with 491 FhirSearchParameterDefinition registrations - but Coverage(write), Claim, ClaimResponse, EOB, CoverageEligibilityRequest/Response and PaymentNotice have no controllers. FHIRClaim/FHIRClaimResponse data classes do exist under src/FHIR/R4/.","Each resource is controller + FhirService mapping on top of an existing generated data class - a repeatable 1-2 sprint unit, not a research task.",Fold into the NPHIES module deliverable that owns Q27. Verify EOB/Eligibility*/PaymentNotice data classes exist before sizing.,evidence/manifests/q62-fhir-service-files.txt; evidence/raw/count-rest_controllers.txt; src/FHIR/R4/; 12-fhir-nphies-billing-evidence.md,
Q29,E-NPHIES,x12_partners reuse vs new nphies_partners table,TRUE,answered,CONFIRMED,"x12_partners carries OAuth columns (x12_token_endpoint, x12_client_id, x12_client_secret) that would technically fit NPHIES. But the custom_ prefix is NOT reserved by upstream (zero baseline tables, zero upgrade files, zero module SQL use it), and shipped modules use vendor-slug prefixes instead.",Reusing an X12-named table for Saudi FHIR overloads the semantics and complicates every rebase diff. A new table is cleaner and the prefix decision is settled by Q58.,New saas_nphies_partners table (saas_ prefix per Q58). Do not overload x12_partners.,evidence/snippets/q68-custom-prefix-evidence.md; sql/database.sql; 10-database-and-tenancy-evidence.md; 12-fhir-nphies-billing-evidence.md,
Q30,E-NPHIES,Missing billing/core events: upstream PR or polling emulation?,TRUE,answered,CONFIRMED,"src/Billing/ contains NO event dispatch, no factory, no registry and no service-locator lookup. Task selection is a hard-coded if/elseif ladder keyed on $_POST['bn_*'] strings at BillingProcessor.php:161-192. There is no transaction boundary and no idempotency key; claim status is written row-by-row with auto-commit (GeneratorX12.php:151,168).",Event-driven NPHIES is impossible today without a core patch. The absent transaction boundary also means an outbox pattern cannot be added without touching the same code.,"Do both in parallel: ship with polling (Q27 Option C), and open a narrow upstream PR converting the if/elseif ladder into a task registry plus one pre-dispatch event - a change confined to BillingProcessor.php.",src/Billing/BillingProcessor/BillingProcessor.php; src/Billing/BillingProcessor/Tasks/GeneratorX12.php; 12-fhir-nphies-billing-evidence.md,
Q31,E-NPHIES,Keep claimrev-connect in Saudi deployments?,TRUE,answered,CONFIRMED,"Verified empirically on a populated vendor/ tree (not available to the prior audit): claimrevolution/oe-module-claimrev-connect v2.1.6 is the ONLY openemr-module type package in vendor/composer/installed.json. Composer installs it as a REAL directory (not a symlink) of 134 files at interface/modules/custom_modules/oe-module-claimrev-connect, which .gitignore:15 excludes from tracking.","It is a genuine runtime dependency of composer install, so removing it means editing composer.json - a fork patch. Disabling it at provisioning time costs nothing and keeps the zero-patch record intact.",Keep in composer.json (preserves zero-patch record and upstream test parity); disable in Saudi tenant provisioning defaults.,.gitignore; composer.json; vendor/composer/installed.json; 08-dependency-runtime-inventory.csv,
Q32,F-Frontend,Patient portal strategy,TRUE,partially_answered,HIGH,"The portal is a separate Smarty-based app with its own credentials (patient_access_onsite) and its own logo resolution (portal/index.php:62-64, portal/home.php:87,362), fronted by portal REST endpoints. Swapping it does not disturb the main UI.","The isolation is real, which de-risks a greenfield SPA: it can be built alongside the existing portal and cut over per tenant.","Provisional: rebrand for MVP, greenfield SPA in Phase 2, exploiting the portal's isolation to cut over tenant-by-tenant.",interface/globals.php; portal/index.php; 14-frontend-ui-evidence.md,Product: patient-facing mobile expectations at launch.
Q33,F-Frontend,Main-UI strategy,TRUE,answered,CONFIRMED,"Q72's scan corrects the '611 grid files' figure: 5,460 first-party UI files scanned, of which 575 are legacy iframe entry points or files they include, 1,098 shared templates, and 416 custom-module screens. Shell replacement means touching the legacy iframe population, not 611 arbitrary files.","A full shell replacement is a multi-quarter project against a measured, not guessed, surface. Tab-by-tab SPA embedding is bounded and provable.",Stay on BS4/Twig; embed SPAs tab-by-tab as new modules require them. Do not attempt shell replacement.,18-q72-ui-responsiveness-inventory.csv; 19-q72-ui-responsiveness-summary.md,
Q34,F-Frontend,Themes: how many Saudi variants?,TRUE,answered,CONFIRMED,"Themes are shared immutable CSS under public/themes/, chosen by FILENAME via globals.css_header with a per-user user_settings override, and gated by a file_exists() check at interface/globals.php:476 that blocks arbitrary filenames. The dropdown is a filesystem scan (edit_globals.php:714-731), not a DB list. RTL is a filename substitution (rtl_<name>.css) at globals.php:551-611.",Per-tenant brand colour must NOT be a per-tenant CSS file - the runtime has no per-site CSS include at all (Q59). It has to be a token/variable override on a shared bundle.,"Ship 2 themes (light-RTL, dark-RTL). Implement per-tenant branding as CSS-variable design tokens over a shared immutable bundle plus per-site logos - never per-tenant CSS files.",interface/globals.php; interface/super/edit_globals.php; 14-frontend-ui-evidence.md,
Q35,F-Frontend,CKEditor 5 Arabic bundling,TRUE,answered,CONFIRMED,"CKEditor 5 is configured at library/js/nncustom_config.js:198 and library/js/limitedcustom_config.js:259, and grep for language/direction/rtl/ltr in both returns ZERO hits. The @ckeditor/ckeditor5-language 47.6.2 package IS already present in package-lock.json:1173-1175 but is never wired.","The dependency is already paid for; this is a config change, not a bundling project. Without it the WYSIWYG toolbar stays English in Arabic tenants.",Set language: 'ar' and contentsLangDirection: 'rtl' in both OE CKEditor configs. Trivial - do it with Q18.,library/js/nncustom_config.js; package-lock.json; 13-localization-arabic-evidence.md,
Q36,G-Modules,Byte identity of in-tree oe-module directories,TRUE,answered,CONFIRMED,"SEVEN in-tree module directories exist (not six), and ZERO have fork-only modifications. Against v8_2_0 only one file differs - oe-module-comlink-telehealth/tests/bootstrap.php - and that difference is caused by an UPSTREAM commit present in HEAD but not in the release cut (0ec6697e0 'feat(bc): add internal deprecation utility (#12753)'). Working tree is clean: git status over custom_modules returns 0 entries. oe-module-claimrev-connect is composer-installed and gitignored, so it has no tracked blobs to compare.","The blocking premise behind Q36 dissolves: there is no per-module hotfix ledger to maintain, and the fork-vs-upstream module diff is provably empty.",Treat all seven tracked modules as pristine upstream. No hotfix tracking needed. Re-run the one-line diff each rebase to keep the claim true.,17-q36-module-byte-identity.md; 06-module-drift-inventory.csv,
Q37,G-Modules,openemr/oe-module-installer-plugin internals,TRUE,answered,CONFIRMED,"Read from installed source (vendor/ populated on this machine; unavailable to the prior audit). Plugin class: OpenEMR\Composer\ModuleInstallerPlugin\Plugin (Plugin.php:9), which on activate() registers CustomModuleInstaller and ZendModuleInstaller. CustomModuleInstaller extends Composer's LibraryInstaller, supports() only 'openemr-module', and getInstallPath() returns interface/modules/custom_modules/<LAST SEGMENT OF PACKAGE NAME> (CustomModuleInstaller.php:13-20). Confirmed in practice: installed.json maps claimrev-connect to that path and the result is a real directory of 134 files, not a symlink.",OVERLAY RISK IDENTIFIED: the install path derives ONLY from the package name's last segment and ignores the vendor. Any composer package named <anyvendor>/oe-module-weno would resolve to the SAME directory as the tracked upstream oe-module-weno. Packaging our own modules must use names that cannot collide with upstream module directory names.,Name our packages so the last segment is unique (e.g. saas/oe-module-saas-nphies). Add a CI check asserting that no composer package resolves onto a tracked module directory.,vendor/composer/installed.json; vendor/openemr/oe-module-installer-plugin/src/CustomModuleInstaller.php; vendor/openemr/oe-module-installer-plugin/src/Plugin.php; 08-dependency-runtime-inventory.csv; q37-q70-installer-plugin-analysis.md,
Q38,G-Modules,Twig namespacing convention for custom modules,TRUE,answered,HIGH,"TwigContainer::addPath() supports namespaces but no convention is enforced in-tree, so template resolution is order-dependent and two modules shipping layout.twig collide silently.",The collision is silent and surfaces at rebase/deploy time. Enforcing a prefix costs one scaffolding line.,Enforce a @<module_slug>/ namespace prefix in the module scaffolding template and assert it in CI.,src/Common/Twig/TwigContainer.php; 08-dependency-runtime-inventory.csv,
Q39,H-DevOps,Do we publish our own Docker images?,TRUE,partially_answered,HIGH,"59 GitHub workflows ship, including the docker-build/docker-release family. Because the fork will carry Arabic assets, Amiri/Noto fonts (Q25), a vendored bootstrap-rtl (Q24) and an NPHIES module, the runtime artifact necessarily diverges from upstream's image.","The divergence list is now concrete, which makes 'publish our own' a consequence of earlier locked decisions rather than an independent choice.",Publish our own images to a private registry. Adopt upstream's docker-build workflows as the starting point.,evidence/manifests/q39-workflow-inventory.txt; q39-workflow-inventory.txt,Ops: registry choice and image-signing policy.
Q40,H-DevOps,Inferno ONC certification in scope?,TRUE,answered,CONFIRMED,"Inferno ships as two git submodules (ci/inferno/onc-certification-g10-test-kit and ci/inferno/inferno-files) plus inferno-test.yml. It validates US ONC / US Core conformance, which has no Saudi regulatory force.",Keeping it costs CI minutes but provides a regression net over the FHIR surface that NPHIES work will touch. Removing it frees the fork to diverge from US Core.,"Remove from required checks, keep the config so re-enabling is one line. Re-evaluate if US Core divergence becomes deliberate.",evidence/manifests/q40-inferno-artifacts.txt; q40-inferno-artifacts.txt,Product: whether any customer requires ONC certification.
Q41,H-DevOps,k8s/Helm charts - in-fork or infra repo?,TRUE,answered,CONFIRMED,Zero Helm/k8s artifacts exist in the repository (same evidence as Q3). Nothing to migrate either way.,"Because there is no existing chart, choosing the infra repo now costs nothing; choosing in-fork later would require a move.","Separate infra repo, referenced by SHA from this fork's release notes (matches Q14).",evidence/manifests/q3-deployment-artifacts.txt; q3-deployment-artifacts.txt,Ops: repo topology.
