cons_id,def_id,english,arabic
19,120472,A large application like openEMR is used by a multitude of users with varying roles and degrees of responsibility. It is imperative that access to various parts of the program be granted to users on a need to know basis. To achieve this - Access Control Lists (ACL) are used.,يتم استخدام تطبيق كبير مثل openEMR من قبل العديد من المستخدمين بأدوار ودرجات متفاوتة من المسؤولية. من الضروري أن يتم منح الوصول إلى أجزاء مختلفة من البرنامج للمستخدمين على أساس الحاجة إلى المعرفة. لتحقيق ذلك - يتم استخدام قوائم التحكم في الوصول (ACL).
20,120473,A lot number is required,رقم الشحنة مطلوب
21,120474,A lot number is required!,رقم الشحنة مطلوب
22,120475,A lowercase letter,حرف صغير من الأبجدية الانجليزية
23,120476,A New Appointment,موعد جديد
24,120477,A new feature helps to group frequently ordered tests so that they can be ordered together,تساعد الميزة الجديدة في تجميع الاختبارات التي يتم طلبها بشكل متكرر بحيث يمكن ترتيبها معًا
25,120478,A new message can thus be sent to a single or multiple users and/or can be about a single or multiple patients,وبالتالي يمكن إرسال رسالة جديدة إلى مستخدم واحد أو عدة مستخدمين و / أو يمكن أن تكون حول مريض واحد أو عدة مرضي
26,120479,A new patients credentials could not be sent after portal registration.,لا يمكن إرسال بيانات اعتماد جديدة للمرضى بعد تسجيل البوابة.
27,120480,A new tab sub menu will be visible at the top of the Message center page,ستظهر قائمة فرعية لعلامة تبويب جديدة أعلى صفحة مركز الرسائل
28,120481,A number,رقم
29,120482,A Patient Must Be Selected to Generate This Report,يجب اختيار مريض لإنشاء هذا التقرير
30,120483,A patient with this ID already exists.,هوية التعريف لهذا المريض موجودة مسبقاً
31,120484,A patient with this name already exists.,اسم هذا المريض موجود مسبقاً
32,120485,A patient with this SS already exists.,رقم الضمان الاجتماعي لهذا المريض موجود مسبقاً
33,120486,A Payment is Required!. Please input a payment line item entry.,مطلوب الدفع !. الرجاء إدخال بند عنصر الدفع
34,120487,"A place to document and display the patient's past medical history, family history, personal history",مكان لتوثيق وعرض التاريخ الطبي السابق للمريض وتاريخ العائلة والتاريخ الشخصي
35,120488,A popup box will alert you about success or failure,سيظهر لك مربع منبثق بشأن النجاح أو الفشل
36,120489,A positive number will show that many past appointments on a Widget in the Patient Summary screen (a negative number will show the past appointments in descending order),سيظهر الرقم الموجب العديد من المواعيد السابقة على أداة في شاشة ملخص المريض (الرقم السالب سيعرض المواعيد السابقة بترتيب تنازلي)
37,120490,A positive number will show that many past appointments on a Widget in the Patient Summary screen.,يعرض الرقم الموجب عدة مواعيد سابقة على أداة في شاشة ملخص المريض.
38,120491,A product was selected but there is no product section in this form.,تم اختيار منتج ولكن لا يوجد قسم المنتج في هذا النموذج.
39,120492,A provider or warehouse can be selected in the dropwdown box. For this option to be displayed 'Support provider in line item in fee sheet' box must be checked in Administration > Globals> Billing page," يمكن اختيار مقدم أو مستودع في القائمة المنسدلة. لكي يتم عرض هذا الخيار ""مزود تقديم الدعم في البند في صحيفة الرسوم"" يجب تحديد المربع في الإدارة> العامة> صفحة الفواتير"
40,,A quantity is required,
41,120493,A Recurring Appointment. Please contact your appointment desk for any changes.,موعد متكرر. يرجى الاتصال بمكتب المواعيد الخاص بك لأية تغييرات.
42,120494,A Referral has an additional action - to print the referral or save it as a pdf file,الإحالة لها إجراء إضافي - لطباعة الإحالة أو حفظها كملف pdf
43,120495,A Referral is the most common type of transaction,الإحالة هي أكثر أنواع المعاملات شيوعًا
44,120496,A referral source may be specified for each visit.,يمكن تحديد مصدر الإحالة عن كل زيارة
45,120497,A related IPPF code is required!,يطلب الرمز IPPF  ذو الصلة
46,120498,A secure (HTTPS) web connection is required for U2F,مطلوب اتصال ويب آمن (HTTPS) لـ U2F
47,120499,A short description of this group that will appear when you hover over the newly created group (ARO).,وصف موجز لهذه المجموعة سيظهر عند تحريك الماوس فوق المجموعة المنشأة حديثًا (ARO).
48,120500,"A short description of this group, Serum chemistry tests",وصف موجز لهذه المجموعة ، اختبارات كيمياء المصل
49,120501,A short description of this procedure or result code,وصف موجز لهذا الإجراء أو رمز النتيجة
50,,A signature is required for this document. Please sign document where required,
51,,A source lot is required,
52,120502,A special character,حرف خاص
53,120503,A standardized form called the Health Insurance Claim Form is used to submit claims,يتم استخدام نموذج موحد يسمى نموذج مطالبة التأمين الصحي لتقديم المطالبات
54,120504,"A third alternative is to scan the results and save it as a document - TIFF, JPEG or PDF in the patient's chart under documents",البديل الثالث هو مسح النتائج ضوئيًا وحفظها كمستند - TIFF أو JPEG أو PDF في مخطط المريض أسفل المستندات
55,,A two tabbed form will be revealed,
56,120505,"A unique value to identify this field, not visible to the user","قيمة لامثيل لها للتعريف بهذا الحقل ,غير مرئية للمستخدم"
57,120506,A useful start would be to obtain a paper lab slip from a few labs and look at the way the tests are organized on the lab slip,قد تكون البداية المفيدة هي الحصول على قسيمة معمل ورقي من عدد قليل من المعامل وإلقاء نظرة على الطريقة التي يتم بها تنظيم الاختبارات على قسيمة المختبر
58,,A valid UDI has not been processed yet.,
59,120507,"A visit already exists for this group today. Click Cancel to open it, or OK to proceed with creating a new one.","توجد زيارة بالفعل لهذه المجموعة اليوم. انقر فوق ""إلغاء الأمر"" لفتحه ، أو ""موافق"" لمتابعة إنشاء واحدة جديدة."
60,120508,"A visit already exists for this patient today. Click Cancel to open it, or OK to proceed with creating a new one.",الزيارة مفتوحه لهذا المريض اليوم. اضغط إلغاء لفتحها أو موافق لإنشاء زيارة جديدة
61,,A warehouse is required,
62,120509,a.c.,قبل الطعام
63,120510,a.m.,بعد الطعام
64,,A/C{{anterior chamber}},
65,120511,A/F Level Right:,الرجفان الأذيني يمين المستوى
66,,AAA Segments,
67,120512,AB,اب
68,120513,Abbreviation,اختصارات
69,120514,Abcess:,خراج
70,120515,Abdominal,بطني
71,120516,Able to Bear Weight four (4) steps:,قادر على حمل الوزن أربع خطوات
72,120517,Abn,إشعار المستفيد المسبق (اختصار)
73,,ABN is required but not signed!,
74,,ABN Status,
75,120518,ABN1,إشعار ميديكير المتقدم 1
76,120519,ABNL,غير عادي (اختصار)
77,120520,Abnormal,غير عادي
78,120521,Abnormal Blood Test,فحص دم غير عادي
79,120522,Abnormal Hair Growth,نمو شعر غير عادي
80,120523,Abnormal Mammogram,تصوير ثدي غير عادي
81,120524,Abort,ألغى
82,,Aborted since querystring hash was invalid,
83,,Aborted since unable to complete transaction,
84,,Aborted since unable to obtain token,
85,,Aborted since unable to submit transaction,
86,120525,Abortion,اجهاض
87,120526,Abortion Issues,قضايا الإجهاض
88,120527,Abortion Method,طريقة الإجهاض
89,120528,Abortion-Related Categories,الفئات المتعلقة بالإجهاض
90,120529,Abortions,اجهاضات
91,120530,About,حول
92,120531,About Portal Dashboard,حول لوحة معلومات البوابة
93,120532,About the calendar,عن المفكرة
94,120533,About Your Portal,حول بوابتك
95,120534,Above upper panic limits,فوق حدود الذعر العليا
96,120535,Absences by Diagnosis,غياب التشخيص
97,,Absolute path to node binary,
98,120536,Accept,قبول
99,120537,Accept Assignment,قبول المهمة
100,,Accept Credit Card transactions from Front Payments,
101,120538,Accept Payment,قبول الدفع
102,120539,Accept Payment for,قبول الدفع ل
103,120540,Accept Payment for ,قبول الدفع ل
104,120541,Accepts Assignment,قبول المهمة
105,120542,Access can be given to other groups by editing User Memberships or Groups and Access Controls in Administration > ACL,"يمكن منح الوصول إلى مجموعات أخرى عن طريق تحرير ""عضويات المستخدمين"" أو ""المجموعات وعناصر التحكم"" في الوصول في الإدارة> قائمة التحكم بالوصول (ACL)"
106,120543,Access Control,تحكم  بالوصول
107,120544,Access Control List Administration,ادارة قائمة التحكم بالوصول
108,120545,Access Control List Help,تعليمات قائمة التحكم بالوصول
109,120546,Access Control Lists,قوائم التحكم في الوصول
110,120547,Access core data set of patient information at the beginning of an encounter,الوصول إلى مجموعة البيانات الأساسية لمعلومات المريض في بداية اللقاء
111,120548,Access date,تاريخ الوصول
112,120549,Access denied,تم الرفض
113,120550,Access is then granted selectively to portions of the program on a need to know basis.,مُنح الوصول انتقائياً لأجزاء من البرنامج على مبدأ عُلمَ عند الحاجة.
114,120551,access not allowed,الوصول غير مسموح
115,120552,Access not allowed, الوصول غير مسموح
116,120553,Access Not Authorized,الوصول غير مرخص به
117,,Access Tokens,
118,120554,Access Your Medical Records,الوصول إلى السجلات الطبية الخاصة بك
119,120555,Access Your Patient Portal,الوصول إلى بوابة مريضكم
120,120556,Accident,حادث
121,120557,Account,الحساب
122,120558,Account Id,رقم الحساب
123,,"Account Id issued for NewCrop eRx service, used to separate multi-facility accounts.",
124,,Account Id issued for Weno eRx service.,
125,,Account Id issued for Your clinics eRx service.,
126,,Account is validated. Send new credentials?,
127,120559,Account Name,اسم الحساب
128,,Account Name issued for NewCrop eRx service.,
129,,Account Password issued for NewCrop eRx service.,
130,,Account Registration,
131,120560,Accounting,المحاسبة
132,,Accounting (acct),
133,,Accounting Transactions Export,
134,,Accounting transactions export to CSV,
135,,Accountings,
136,,Acct,
137,,ACD{{anterior chamber depth}},
138,120561,Aches,آلام
139,,Acknowledge as my Electronic Signature,
140,120562,Acknowledgment Requested (ISA14),إشعار بإلاستلام  (ISA14)
141,120563,"Acknowledgments, Licensing and Certification",الاشعارات والترخيص والتصديق
142,120564,ACL,قائمة التحكم بالوصول
143,120565,ACL Administration,ادارة قائمة التحكم بالوصول
144,,ACL Administration (acl),
145,120566,ACL Administration Not Authorized,المستخدم ليس له صلاحية في ادارة قائمة التحكم بالوصول
146,,ACL check failed,
147,,ACL Fine Granular Control,
148,120567,ACL Updated Successfully,تم تحديث ادارة قائمة التحكم بالوصول
149,120568,Acne,حب الشباب
150,,ACO,
151,,ACOM{{Anterior Segment}},
152,120569,Act,الحدث
153,120570,Act Date,تاريخ الحدوث
154,120571,Action,الحدث
155,120572,Action Taken,الإجراء المتخذ
156,120573,Action Taken Time,توقيت الإجراء
157,,Action User,
158,120574,Actions,الاحداث
159,,Activate,
160,120575,Activate CCR/CCD Reporting,تفعيل تقارير  CCR / CCD
161,,activate to sort column ascending,
162,,activate to sort column descending,
163,,Activate UB04/837I Claim Support,
164,,Activates custom work flow logic,
165,120576,Active,تنبيه نشط
166,,"Active - By default any value added here will be set to Active, to prevent/remove an item from showing up in the drop-down list just uncheck and deactivate",
167,120577,Active Alert,تنبيه فعال
168,,Active Alert - that presents as a pop-up notification when a patient's chart is entered,
169,120578,Active Alert Rules,قواعد التنبيه الفعال
170,120579,Active Alerts/Reminders,تنبيهات/تذكيرات فعالة
171,,Active Chart,
172,,Active Codes,
173,,Active Directory - Domains Base,
174,,Active Directory - Domains Controllers,
175,,Active Directory - Suffix Of Account,
176,120580,Active Encounter,الموعد الفعال
177,,Active Issue Codes,
178,120581,Active lists,القوائم الفعالة
179,,Active Messages,
180,120582,Active Patient,المريض الفعال
181,120583,Active Plans,خطط فعالة
182,,Active Templates,
183,,Active{{Appointment}},
184,,Active{{Code}},
185,,Active{{Drug}},
186,,Active{{Issue}},
187,,Active{{Item}},
188,,Active{{Note}},
189,,Active{{Plan}},
190,,Active{{Service}},
191,120584,Activity,فعالية
192,120585,Activity Type,النوع الفعال
193,,Actual Receipts,
194,,Acuity,
195,,ACUITY,
196,,Acuity with Autorefraction,
197,,Acuity with Contact Lenses,
198,,Acuity with correction,
199,,Acuity with Cycloplegic Refraction,
200,,Acuity with Manifest Refraction,
201,,Acuity with Pinhole,
202,,Acuity without correction,
203,120586,Acute Intoxication/Withdrawal,تسمم حاد/إنسحاب
204,120587,Acute Manifestation of a Chronic Condition,عارض حاد لمرض مزمن
205,120588,Acute on Chronic,حاد أو مزمن
206,,Ad Reviewed,
207,120589,Add,إضافة
208,120590,add,إضافة
209,120591,ADD,أضف
210,120592,Add a Company,إضافة شركة
211,120593,Add a condition,اضافه حاله
212,,ADD A NEW RECALL,
213,,Add a New Recall,
214,,Add a note to the biller,
215,120594,Add a Pharmacy,إضافة صيدلية
216,,Add all needed providers in a similar manner,
217,,Add all rules to plan,
218,120595,add an event for ,إضافة حدث ل
219,,Add as a new message,
220,120596,Add as a new note,إضافة كملاحظة جديدة
221,120597,Add as New,إضافة جديد
222,120598,Add as new patient,اضافه مريض جديد
223,,Add Bottom Border Row,
224,120599,Add Buttons,أضف أزرار
225,120600,"Add Buttons for Special Chars,Texts to be Displayed on Top of the Editor for inclusion to the text on a Click",إضافة ازار للحروف والرموز الخاصة يتم عرضها أعلى محرر النصوص ويتم ادراجها ضمن النص عند الضغط عليها
226,120601,Add Category,إضافة فئة
227,120602,Add Constant,إضافة ثابت
228,120603,Add Context,اضافة حالة
229,120604,Add Copay,إضافة تحمل
230,120605,Add criteria,أضف حالة
231,120606,Add Custom Button,إضافة زر مخصص
232,,Add Data Bottom Border,
233,,Add desired privileges by moving items (ACOs) from the 'Inactive' column to the 'Active' column.,
234,120607,Add Diagnosis,أضف تشخيص
235,120608,Add Drug,إضافة دواء
236,,Add Edit Transactions Help,
237,,Add encounter,
238,120609,Add Encounter,إضافة موعد
239,120610,Add encounter/notes,إضافة زيارة / ملاحظات
240,120611,Add Facility,إضافة مرفق
241,120612,Add Field,إضافة حقل
242,120613,Add following lines to the Apache configuration file,إضافة  الأسطر التالية إلى تكوين ملف اباتشي
243,120614,Add Group,إضافة مجموعة
244,,Add group,
245,120615,Add ICD Code,إضافة  رمز التصنيفات الإحصائية الدولية للأمراض
246,120616,Add Immunization,إضافة لقاح
247,120617,Add is not authorized!,الإضافة غير مسموحة
248,120618,Add Issue,إضافة مسألة
249,120619,Add item to track,إضافة بند للمتابعة
250,120620,Add Language,إضافة لغة
251,,Add Lot,
252,,Add manually,
253,,Add Missing Context Template.,
254,,Add Mode,
255,,Add modifiers for this field type. You may select more than one.,
256,,Add More Items,
257,120621,Add New,إضافة عنصر جديد
258,120622,Add new,إضافة عنصر جديد
259,120623,Add new category : ,إضافة فئة جديدة
260,120624,Add new certificates to the Apache configuration file,إضافة شهادات جديدة لتكوين ملف اباتشي
261,120625,Add New Component,إضافة مكوّن جديد
262,120626,Add New Components,إضافة مكوّنات جديدة
263,,Add new database,
264,,Add New Entry,
265,,Add New Event,
266,,Add New Form,
267,,ADD NEW GROUP,
268,120627,Add New Group,إضافة مجموعة جديدة
269,120628,Add New Issue,إضافة مشكلة جديدة
270,120629,Add new lot and transaction,إضافة شحنة و معاملة جديدة
271,,Add New Message,
272,120630,Add New Note,إضافة ملاحظة جديدة
273,120631,Add new note,إضافة ملاحظة جديدة
274,120632,Add New Partner,إضافة شريك جديد
275,120633,Add New Patient,إضافة مريض جديد
276,,Add New Plan,
277,,ADD NEW PLAN,
278,,Add New...,
279,,Add New{{Event}},
280,,Add New{{Message}},
281,,Add New{{Provider}},
282,,Add new{{Rule}},
283,,Add New{{Type}},
284,120634,Add Note,إضافة ملاحظة
285,,Add Onsite Portal Activity,
286,,Add Package,
287,,Add Patient,
288,120635,Add Patient Record,إضافة سجل مريض
289,120636,Add Prescription,إضافة وصفة
290,120637,Add Procedure,إضافة إجراء
291,120638,Add Provider Number,إضافة رقم المزود
292,,Add Recall,
293,120639,Add Rehab,إضافة إعادة التأهيل
294,,Add Row,
295,120640,Add Rule,أضف امر
296,,"Add the remaining codes, in order to do so the CPT code must already exist in the database",
297,,Add Time to Date,
298,120641,Add to,إضافة الى
299,,ADD TO EXISTING MESSAGE,
300,,Add To Existing Message,
301,,Add to History,
302,,Add to list,
303,120642,Add to Medication List,إضافة الى قائمة الأدوية
304,120643,Add Top Level,إضافة المستوى الأعلى
305,120644,Add Transaction,إضافة تحويل
306,120645,Add User,إضافة مستخدم
307,120646,Add User To Group,إضافة مستخدم الى مجموعة
308,,Add.{{Additional Measurements}},
309,120647,Add/Edit eRx,أضف/عدل الوصفات الطبية الالكترونية اي آر اكس
310,,Add/Edit Issue,
311,120648,Add/Edit Patient Transaction,إضافة / أو تعديل اجراء للمريض
312,120649,added,مضاف
313,,Adding,
314,,Adding a participant,
315,120650,Adding demographics is not authorized.,إضافة معلومات ديموغرافية غير مسموح
316,120651,Adding item to track failed,لقد فشلت إضافه بند للمتابعة
317,120652,Addison Syndrom,متلازمة أديسون
318,120653,Addison Syndrome,متلازمة أديسون
319,120654,Additional Attributes,سمات اضافية
320,120655,Additional Data Points,بيانات اضافيه
321,,Additional Date:,
322,120656,Additional Diagnosis:,تشخيص اضافي
323,,Additional Findings,
324,,"Additional functionality including the ability to send SMS text messages, automated phone dialing, emails etc. can be accessed by enabling the optional MedEx Communication Service",
325,,Additional help to fill out this form is available by hovering over labels of each box and clicking on the dark blue help ? icon that is revealed,
326,,Additional help to fill out this form is available by hovering over labels of each box and clicking on the dark blue help ? icon that is revealed. On mobile devices tap once on the label to reveal the help icon and tap on the icon to show the help section,
327,120657,Additional History,تاريخ مرضي اضافي
328,120658,Additional history notes,ملاحظات في التاريخ المرضي اضافية
329,120659,Additional Info,معلومات اضافية
330,,Additional information about the individual pages can be found in their respective help files,
331,,Additional information may be available,
332,,Additional information to process paper claims,
333,120660,Additional Labs,تحاليل مخبرية اضافية
334,120661,Additional Notes,ملاحظات اضافية
335,,Additional Notes field is for local use in openEMR,
336,120662,Additional notes for this result or recommendation,توصيات او ملاحظات اضافية للنتيجة
337,120663,Additional Notes:,ملاحظات اضافية
338,120664,Additional Notes: ,ملاحظات اضافية
339,,additional scopes,
340,120665,Additional X-RAY Notes:,ملاحظات شعاعية اضافية
341,120666,"Additionally, the corresponding US Snomed Extension Package can be imported separately after installing the International (English version) Snomed Release","إضافيا, يمكن استيراد طرد Snomed للولايات المتحدة بعد الطراز العالمي منها"
342,,"Additionally, to the right is a toggle to select if you want to use the pop out window or dialog editor. The window allows having multiple editors open at the same time where the dialog is more appropriate for making quick edits",
343,,Additonal Rx{{Additional glasses}},
344,120667,addonly,إضافة محددة
345,,addonly - can read and add but not modify,
346,120668,Addr Bk,دفتر العناوين
347,120669,Addr Book,دفتر العناوين
348,120670,Address,العنوان
349,,Address and Postal Code,
350,,Address and State,
351,120671,Address Book,دفتر العناوين
352,120672,Address book entry for the company performing this procedure,مدخلات دفتر العناوين الخاصة بالشركة التي تقوم بهذه اﻹجراءات
353,120673,Address book entry for the distributor,ادخال دفتر العناوين للموزع
354,120674,Address book entry for the vendor,ادخال دفتر العناوين للبائع
355,120675,Address Book Types,أنواع دفتر العناوين
356,120676,Address Label,ملصق العنوان
357,120677,Address Labels,ملصقات العنوان
358,,Address Line 1,
359,,Address Line 2,
360,120678,Address Only,العنوان
361,,"Address, City, State and Postal Code",
362,,"Address, City, State, Postal Code, Payer ID",
363,120679,"Address, State and Postal Code",العنوان  الولايه والرقم البريدي
364,120680,Address1,العنوان 1
365,120681,Address2,العنوان 2
366,,ADDRESSED TO,
367,120682,ADDRESSEE,مخاطب
368,,ADD{{Bifocal Add}},
369,,ADD{{Near Add}},
370,120683,Adj,تعديل
371,120684,Adj Amount,مقدار التعديل
372,,Adj Amt,
373,,Adj Type,
374,120685,Adjust,عدّل
375,,Adjust Type,
376,120686,Adjustment,تعديل
377,120687,Adjustment Amt,كمية التعديل
378,120688,Adjustment Reasons,أسباب التعديل
379,,Adjustment type is required for each line with an adjustment.,
380,,Adjustment type is required for every line item.,
381,,Adjustment value for code,
382,120689,Adjustment value for code ,القيمة المعدلة للرمز
383,,"Adjustment, Consumption, Return, or Edit",
384,120690,Adjustments,تعديلات
385,,Adjustments at Checkout,
386,120691,Adm adjust,تعديلات المدير
387,120692,Admin,المدير
388,120693,Admin Email Address,العنوان الإلكتروني للمدير
389,120694,Administer Via,ادير/ قدم من
390,,Administer Via is not relevant in this context and can be left Unassigned,
391,120695,Administered,ادار/قدم
392,120696,Administered By,ادارة عن طريق
393,120697,Administered Date,تاريخ مُدار
394,120698,Administered Site,موقع مُدار
395,120699,Administration,الإدارة
396,,Administration (admin),
397,120700,Administration Site,موقع الإدارة
398,,Administrator Assign,
399,120701,Administrators,المدراء
400,120702,Administrators can do anything,المدراء لهم كافة الصلاحيات
401,120703,Admit Date,تاريخ الدخول
402,,Adnexa,
403,,Adopted Child,
404,120704,Adult Weight Screening and Follow-Up,فحص الوزن والمتابعة للبالغين
405,120705,Adult Weight Screening and Follow-Up (CQM),فحص الوزن والمتابعة للبالغين (CQM)
406,120706,Advance Directive,التوجيه مقدما
407,120707,Advance Directives,توجيهات متقدمة
408,120708,Advance Directives Warning,توجيهات تحذيرية متقدمة
409,,Advance Options,
410,120709,Advanced,متقدم
411,,Advanced - Finer Access Control,
412,,Advantages and Disadvantages of TOTP and U2F,
413,120710,Advice,نصيحة
414,120711,Afar,بعيد
415,120712,Affect normal,يؤثر طبيعياً
416,120713,Afrikaans,جنوب افريقي أبيض
417,,after,
418,,after (PM),
419,120714,After hrs calls,مكالمة بعد ساعات
420,120715,"After migration from the old password mechanisms where passwords are stored in the users table without salt is complete, this flag should be set to false so that only authentication by the new method is possible","بعد التحول من آلية كلمة السر القديمة , يجب تعيين علامة سالبة بحيث تكون المصاقة ممكنة من خلال طريقة جديدة"
421,120716,"After performing above configurations, import the admin client certificate to the browser and restart Apache server (empty password).",بعد القيام باﻹعدادات اعلاه، قم باستصدار شهادة إدراة النظام الزبون الى المتصفح ومن ثم قم بإعادة تشغيل خادم الويب (أباتشي)(كلمة سر فارغة)
422,,After saving the PDF,
423,120717,"After saving the PDF, click [View Log] to check for errors.",بعد حفظ الملف بصيغة بدف اضغط مشاهدة السجل للتأكد من عدم وجود أخطاء
424,,"After saving the PDF, click[View Log] to check for errors.",
425,,After saving the TEXT file,
426,120718,"After saving the TEXT file(s), click [View Log] to check for errors.",بعد حفظ الملف نصي بدف اضغط مشاهدة السجل للتأكد من عدم وجود أخطاء
427,,"After saving the TEXT file(s), click[View Log] to check for errors.",
428,,After saving your batch,
429,120719,"After saving your batch, click [View Log] to check for errors.",بعد حفظ تعديلك اضغط مشاهدة السجل للتأكد من عدم وجود أخطاء
430,,"After saving your batch, click[View Log] to check for errors.",
431,,"After that the Match column will show the selected patient ID, or 0 to create.",
432,120720,"After the information is correctly entered, click the Save button.",بعد ادخال المعلومات بشكل صحيح اضغط زر الحفظ
433,,"After Uploading click the button ""Import""",
434,,"After Uploading, click ""Import""",
435,,After you filled in the spreadsheet with the relevant ICD categories and ICD codes go to Administration > Lists. Select 'Service Category' from the dropdown box,
436,,After you have finished entering all the ICD 10 codes go to Adminstration > Lists and select 'Code Types' from the dropdown box. Select 'ICD10 Diagnosis' from the last dropdown box under ICD 10,
437,120721,AfterCare Planning,التخطيط للرعاية اللاحقة
438,,"Afterwards however, you may change your portal credentials anytime from portal menu.",
439,120722,Again,مرة اخرى
440,120723,Age,العمر
441,,Age at death,
442,120724,Age By,العمر ب
443,120725,Age Category,الفئة العمرية
444,120726,Age data is out of range.,بيانات العمر خارج المجال
445,120727,Age Display Format,نمط عرض العمر
446,120728,"Age format for ""age from"" is not valid",نمط ادخال العمر ل (العمر من ) غير صحيح
447,120729,"Age format for ""age up to"" is not valid",نمط ادخال العمر ل (العمر الى) غير صحيح
448,120730,Age From,العمر من
449,120731,Age in Years for Display Format Change,العمر بالسنوات للتغير في صيغة العرض
450,120732,Age max,اكبر عمر
451,120733,Age min,اصغر عمر
452,120734,Age Range,مدى العمر
453,,Aging Columns,
454,120735,Aging Columns:,أعمدة العمر
455,,Aging Days,
456,120736,Akan,لغه ساحل العاج و غانا
457,120737,Albanian,ألباني
458,120738,Alcohol,الكحول
459,120739,Alcohol consumption,استهلاك الكحول
460,120740,Alcohol Use,إستعمال الكحول
461,,Alert,
462,120741,Alert Count,عدد التحذير
463,,Alert Notice,
464,,Alert on and after birthday,
465,,Alert on and up to 28 days after birthday,
466,,Alert on patient birthday,
467,,Alert only on birthday,
468,,Alert Time,
469,120742,Alerts,تحذيرات
470,,Alerts Log,
471,,Alerts/Reminders,
472,,Alert{{Mental Status}},
473,120743,ALEUT,الألوشية
474,120744,All,الكل
475,120745,ALL,الكل
476,,all,
477,120746,All (Collated Format A),الكل(نموذج أ)
478,120747,All (Collated Format B),الكل (نموذج ب)
479,120748,All (Cumulative),الكل (متراكم)
480,,All Alerts,
481,120749,All Automated Measure Calculations (AMC),كل الحسابات اتوماتيكية (AMC)
482,120750,All Categories,كل الفئات
483,120751,All Clinical Quality Measures (CQM),كل مقاييس النوعية الاكلينيكيه (CQM)
484,120752,All Codes,كل الرموز
485,,All credential fields are case sensitive!,
486,,All Dates,
487,120753,All Day,كل الأيام
488,120754,All day event,كل أحداث اليوم
489,120755,"All demographics fields, with search and duplication check",كل الحقول الديموغرافية التي لها فحص للبحث والتكرار
490,,All done.,
491,,All Encounters,
492,120756,All Facilities,كل الهيئات
493,120757,All Injuries/Problems/Issues,كل اﻹصابات/المشاكل/القضايا
494,,All Labs,
495,120758,All Languages Allowed,كل اللغات المسموحة
496,,All Messages,
497,,All Official Clinical Quality Measures (CQM) Measure Groups,
498,120759,All or part of the first name,كل أو جزء من الإسم الأول
499,120760,All or part of the last name,كل أو جزء من الإسم الأخير
500,120761,All or part of the organization,كل أو جزء من المنظومة
501,,All patient interactions in OpenEMR are linked to encounters,
502,120762,All Patients,كل المرضي
503,,All pending messages are displayed on the MY MESSAGES pane,
504,,All Product Types,
505,120763,All Products,كل المنتجات
506,120764,All Providers,كل المزودين
507,120765,All Reviewed and Negative:,الكل تمت مراجعته وسلبي
508,,All scores have been cleared.,
509,,All search inputs are case sensitive and must match entries in your profile.,
510,,"All sections are not required, rather, they are available based on the information a practitioner believes is critical data for the patient at any given moment in time",
