workflow_file,workflow_name,triggers,jobs,os_matrix,php_matrix,mariadb_matrix,mysql_matrix,invokes_phpunit_xml,invokes_phpunit_isolated_xml,invokes_phpunit_integration_xml,uses_codecov,is_reusable,uses_secrets_flagged,notes
.github/workflows/sync-byte-identical.yml,Sync byte-identical files to rel branches,push|schedule|workflow_dispatch,enumerate-rel-branches|sync,ubuntu-24.04,,,,False,False,False,False,False,RELEASE_APP_PRIVATE_KEY,
.github/workflows/syntax.yml,Syntax,pull_request|push,build,ubuntu-24.04,"${{ github.event_name == 'pull_request' && fromJson('[""8.2""]') || fromJson('[""8.2"", ""8.3"", ""8.4"", ""8.5"", ""8.6""]') }}",,,False,False,False,False,False,,
.github/workflows/test-all.yml,Test All Configurations,pull_request|push,build|collect,,,,,False,False,False,False,False,,
.github/workflows/test-byte-identical-scripts.yml,Test byte-identical scripts,pull_request|workflow_dispatch,test,,,,,False,False,False,False,False,,
.github/workflows/test-frontcontroller.yml,Test Front Controller,pull_request|push,built-in,ubuntu-24.04,8.2|8.3|8.4|8.5,,mysql:8,True,False,False,True,False,CODECOV_TOKEN,
.github/workflows/test-scheduled.yml,Test (Scheduled),schedule|workflow_dispatch,build|collect,,,,,False,False,False,False,False,,
.github/workflows/test.yml,Test,workflow_call|workflow_dispatch,setup|test,ubuntu-24.04,,,,False,False,False,True,True,CODECOV_TOKEN|DOCKERHUB_TOKEN|DOCKERHUB_USERNAME,reusable+dispatch
.github/workflows/validate-codecov.yml,Validate codecov.yml,pull_request|push,validate-codecov,,,,,False,False,False,False,False,,
.github/workflows/weekly-build-php-fpm-dockers.yml,Weekly Build php-fpm Dockers,schedule|workflow_dispatch,build_8_1|build_8_1_redis|build_8_2|build_8_2_redis|build_8_3|build_8_3_redis|build_8_4|build_8_4_redis|build_8_5|build_8_5_redis|build_8_6|build_8_6_redis,,,,,False,False,False,False,False,DOCKERHUB_TOKEN|DOCKERHUB_USERNAME,
.github/workflows/whitespace.yml,Whitespace,pull_request|push,whitespace,,,,,False,False,False,False,False,,
